Name,Applicants total,Enrolled total,Tuition and fees,Costs of living on campus,Ranking,Ranking display
Kentucky Wesleyan College,1006.0,163.0,21200.0,32190.0,1000+,1000+
University of Kentucky,19810.0,4702.0,10110.0,34814.0,301-400,top 1000
Kentucky Christian University,590.0,135.0,17418.0,30256.0,1000+,1000+
University of Louisville,9166.0,2857.0,9946.0,36684.0,701-800,top 1000
Mid-Continent University,458.0,201.0,8673.0,26041.0,1000+,1000+
Midway College,446.0,115.0,22150.0,37650.0,1000+,1000+
Morehead State University,5230.0,1649.0,7498.0,30099.0,1000+,1000+
Murray State University,4576.0,1626.0,7044.0,31018.0,1000+,1000+
Northern Kentucky University,7064.0,2107.0,8376.0,27274.0,1000+,1000+
University of Pikeville,1804.0,386.0,17750.0,33750.0,1000+,1000+
Spalding University,1094.0,402.0,22425.0,37439.0,1000+,1000+
Thomas More College,1053.0,264.0,27345.0,38621.0,1000+,1000+
Transylvania University,1326.0,294.0,31560.0,43640.0,1000+,1000+
Union College,1424.0,242.0,22000.0,33740.0,1000+,1000+
Western Kentucky University,8526.0,3375.0,8722.0,32348.0,1000+,1000+
Centenary College of Louisiana,670.0,128.0,30740.0,44600.0,1000+,1000+
Dillard University,4726.0,229.0,16094.0,30358.0,1000+,1000+
Grambling State University,4545.0,714.0,5950.0,31888.0,1000+,1000+
Louisiana State University-Alexandria,1080.0,391.0,5337.0,21658.0,1000+,1000+
Louisiana State University and Agricultural & Mechanical College,16169.0,5725.0,7873.0,41144.0,1000+,1000+
Louisiana College,904.0,266.0,14120.0,23390.0,1000+,1000+
Louisiana Tech University,5077.0,1552.0,7302.0,30066.0,1000+,1000+
Loyola University New Orleans,4827.0,624.0,36860.0,51760.0,1000+,1000+
McNeese State University,3624.0,1313.0,5701.0,28661.0,1000+,1000+
University of New Orleans,3197.0,860.0,6578.0,32315.0,1000+,1000+
Nicholls State University,2404.0,1243.0,6468.0,28671.0,1000+,1000+
University of Louisiana at Monroe,3454.0,1325.0,6318.0,27822.0,1000+,1000+
Northwestern State University of Louisiana,2812.0,1231.0,6207.0,28556.0,1000+,1000+
Southeastern Louisiana University,7657.0,2565.0,5715.0,29168.0,1000+,1000+
Southern University and A & M College,3721.0,781.0,6630.0,20526.0,1000+,1000+
Southern University at New Orleans,1563.0,684.0,4911.0,16191.0,1000+,1000+
University of Louisiana at Lafayette,8506.0,2693.0,6192.0,28585.0,1000+,1000+
Tulane University of Louisiana,30122.0,1609.0,46930.0,61178.0,1000+,1000+
Xavier University of Louisiana,4703.0,675.0,20560.0,31501.0,1000+,1000+
College of the Atlantic,452.0,104.0,38952.0,49890.0,1000+,1000+
Bates College,5243.0,500.0,45650.0,61000.0,1000+,1000+
Bowdoin College,7052.0,497.0,45446.0,59900.0,1000+,1000+
Colby College,5407.0,483.0,45760.0,59110.0,1000+,1000+
Husson University,1581.0,444.0,15130.0,26286.0,1000+,1000+
University of Maine at Farmington,1638.0,439.0,9167.0,30513.0,1000+,1000+
University of Maine at Fort Kent,464.0,162.0,7575.0,28755.0,1000+,1000+
University of Maine at Machias,452.0,104.0,7490.0,30848.0,1000+,1000+
University of Maine,8306.0,1997.0,10600.0,41082.0,401-500,top 1000
Maine Maritime Academy,791.0,225.0,11950.0,34918.0,1000+,1000+
University of New England,4231.0,633.0,33145.0,50295.0,801-900,top 1000
Saint Joseph's College of Maine,1580.0,290.0,30990.0,45790.0,1000+,1000+
University of Southern Maine,3902.0,868.0,8920.0,36422.0,1000+,1000+
Thomas College,1074.0,269.0,22770.0,35494.0,1000+,1000+
Unity College,519.0,146.0,25000.0,35864.0,1000+,1000+
Bowie State University,3986.0,627.0,6971.0,30674.0,1000+,1000+
Washington Adventist University,1455.0,134.0,21020.0,31220.0,1000+,1000+
Coppin State University,5980.0,446.0,6252.0,24025.0,1000+,1000+
Frostburg State University,3872.0,895.0,7728.0,30694.0,1000+,1000+
Goucher College,3615.0,410.0,39084.0,52908.0,1000+,1000+
Hood College,1686.0,281.0,33280.0,48830.0,1000+,1000+
Johns Hopkins University,21336.0,1390.0,45470.0,61502.0,14,top 1000
Loyola University Maryland,13604.0,1096.0,43250.0,58578.0,1000+,1000+
University of Maryland-Baltimore County,9755.0,1657.0,10068.0,36336.0,1000+,1000+
University of Maryland-College Park,26247.0,4020.0,9162.0,42920.0,50,top 1000
University of Maryland Eastern Shore,4073.0,610.0,6998.0,29960.0,1000+,1000+
Morgan State University,4801.0,899.0,7218.0,31683.0,1000+,1000+
Mount St Mary's University,4943.0,429.0,34644.0,48858.0,1000+,1000+
Notre Dame of Maryland University,838.0,104.0,32050.0,45650.0,1000+,1000+
Salisbury University,8912.0,1246.0,8128.0,30714.0,1000+,1000+
St Mary's College of Maryland,1985.0,419.0,14864.0,43399.0,1000+,1000+
St John's College,342.0,126.0,46296.0,58630.0,1000+,1000+
Towson University,17750.0,2748.0,8342.0,34844.0,1000+,1000+
Stevenson University,5318.0,752.0,27082.0,43556.0,1000+,1000+
Washington College,4786.0,350.0,41120.0,54312.0,1000+,1000+
McDaniel College,2942.0,453.0,36960.0,48300.0,1000+,1000+
American International College,1928.0,346.0,30040.0,44900.0,1000+,1000+
Amherst College,7927.0,466.0,46574.0,61544.0,901-1000,top 1000
Anna Maria College,2081.0,243.0,32134.0,48146.0,1000+,1000+
Assumption College,4659.0,502.0,34975.0,48521.0,1000+,1000+
Bay Path College,908.0,135.0,29959.0,44559.0,1000+,1000+
Becker College,3936.0,361.0,31500.0,47160.0,1000+,1000+
Bentley University,7493.0,974.0,41110.0,56930.0,1000+,1000+
Boston College,24538.0,2215.0,45622.0,60706.0,401-500,top 1000
Boston University,44006.0,3877.0,44880.0,61446.0,101-150,top 1000
Brandeis University,9496.0,833.0,45856.0,61070.0,301-400,top 1000
Bridgewater State University,5920.0,1476.0,8053.0,28893.0,1000+,1000+
Clark University,5551.0,621.0,39550.0,48770.0,1000+,1000+
Curry College,6780.0,643.0,34715.0,50845.0,1000+,1000+
Eastern Nazarene College,941.0,165.0,27922.0,38522.0,1000+,1000+
Emerson College,8198.0,863.0,35730.0,53554.0,1000+,1000+
Emmanuel College,6623.0,515.0,34670.0,51363.0,1000+,1000+
Endicott College,3675.0,629.0,28926.0,45536.0,1000+,1000+
Fisher College,2412.0,239.0,27575.0,46840.0,1000+,1000+
Fitchburg State University,3528.0,759.0,8985.0,26770.0,1000+,1000+
Framingham State University,5433.0,826.0,8080.0,28884.0,1000+,1000+
Gordon College,4009.0,481.0,33230.0,44860.0,1000+,1000+
Hampshire College,2856.0,361.0,46625.0,60155.0,1000+,1000+
Harvard University,35023.0,1659.0,42292.0,59950.0,1,top 1000
College of the Holy Cross,7115.0,722.0,44272.0,57832.0,1000+,1000+
Lasell College,3584.0,485.0,30000.0,46000.0,1000+,1000+
Lesley University,2605.0,316.0,32375.0,49765.0,1000+,1000+
University of Massachusetts-Lowell,9126.0,1648.0,12097.0,39010.0,1000+,1000+
University of Massachusetts-Amherst,36012.0,4672.0,13443.0,40998.0,1000+,1000+
Massachusetts Institute of Technology,18989.0,1115.0,43498.0,59020.0,3,top 1000
Massachusetts Maritime Academy,787.0,300.0,7127.0,36979.0,1000+,1000+
Merrimack College,6314.0,794.0,35085.0,49685.0,1000+,1000+
Mount Holyoke College,3732.0,527.0,41456.0,55496.0,1000+,1000+
Mount Ida College,2371.0,307.0,29377.0,44945.0,1000+,1000+
Newbury College,4915.0,270.0,28950.0,44550.0,1000+,1000+
Nichols College,2499.0,414.0,32370.0,46690.0,1000+,1000+
Massachusetts College of Liberal Arts,1689.0,313.0,8525.0,30308.0,1000+,1000+
Northeastern University,47364.0,2891.0,41686.0,58096.0,1000+,1000+
College of Our Lady of the Elms,993.0,198.0,30132.0,44612.0,1000+,1000+
Pine Manor College,535.0,119.0,24930.0,40870.0,1000+,1000+
Salem State University,4855.0,1095.0,8130.0,28224.0,1000+,1000+
Simmons College,4239.0,339.0,35380.0,52610.0,1000+,1000+
Bard College at Simon's Rock,218.0,145.0,46713.0,61403.0,1000+,1000+
Smith College,4403.0,643.0,43114.0,60167.0,1000+,1000+
Springfield College,2231.0,513.0,32560.0,46480.0,1000+,1000+
University of Massachusetts-Dartmouth,8063.0,1443.0,11681.0,37830.0,1000+,1000+
Stonehill College,6548.0,610.0,36160.0,52370.0,1000+,1000+
Suffolk University,9275.0,1188.0,31716.0,49979.0,1000+,1000+
Tufts University,18419.0,1314.0,46598.0,61000.0,151-200,top 1000
Wellesley College,4765.0,595.0,43554.0,59092.0,1000+,1000+
Wentworth Institute of Technology,6146.0,900.0,29200.0,46750.0,1000+,1000+
Western New England University,5988.0,697.0,33020.0,48890.0,1000+,1000+
Westfield State University,5137.0,1288.0,8694.0,27376.0,1000+,1000+
Wheaton College,3944.0,466.0,45074.0,58574.0,1000+,1000+
Wheelock College,1570.0,217.0,31880.0,47870.0,1000+,1000+
Williams College,7069.0,547.0,46600.0,61850.0,1000+,1000+
Worcester Polytechnic Institute,8578.0,1103.0,42778.0,58060.0,1000+,1000+
Worcester State University,4149.0,780.0,8157.0,28798.0,1000+,1000+
Adrian College,4675.0,496.0,30758.0,42740.0,1000+,1000+
Albion College,4430.0,346.0,36051.0,48195.0,1000+,1000+
Alma College,2699.0,376.0,32660.0,44287.0,1000+,1000+
Andrews University,2551.0,388.0,25470.0,35538.0,1000+,1000+
Aquinas College,2789.0,391.0,26460.0,38012.0,1000+,1000+
Calvin College,4003.0,1006.0,28250.0,41195.0,1000+,1000+
Central Michigan University,19262.0,2963.0,11220.0,34454.0,1000+,1000+
Concordia University-Ann Arbor,1150.0,188.0,23563.0,35693.0,1000+,1000+
Davenport University,1385.0,581.0,14096.0,26872.0,1000+,1000+
University of Detroit Mercy,3670.0,481.0,35920.0,52400.0,1000+,1000+
Eastern Michigan University,11929.0,2636.0,9364.0,36301.0,1000+,1000+
Ferris State University,10718.0,2006.0,10466.0,28134.0,1000+,1000+
Kettering University,2140.0,372.0,35600.0,51277.0,1000+,1000+
Grace Bible College,346.0,136.0,12235.0,21949.0,1000+,1000+
Cornerstone University,2349.0,362.0,24168.0,35922.0,1000+,1000+
Grand Valley State University,18122.0,4078.0,10716.0,27104.0,1000+,1000+
Hope College,4161.0,822.0,28720.0,40050.0,1000+,1000+
Kalamazoo College,2528.0,454.0,39450.0,50800.0,1000+,1000+
Lake Superior State University,1481.0,418.0,9960.0,26708.0,1000+,1000+
Lawrence Technological University,1819.0,341.0,28948.0,43061.0,1000+,1000+
Madonna University,1089.0,191.0,16340.0,27944.0,1000+,1000+
Marygrove College,916.0,182.0,19850.0,30730.0,1000+,1000+
Rochester College,1171.0,149.0,19920.0,28890.0,1000+,1000+
University of Michigan-Ann Arbor,46813.0,6200.0,13142.0,53490.0,28,top 1000
Michigan State University,31479.0,8061.0,12862.0,45536.0,151-200,top 1000
Michigan Technological University,4520.0,1153.0,13728.0,41255.0,801-900,top 1000
University of Michigan-Flint,3003.0,724.0,9356.0,31908.0,1000+,1000+
Northern Michigan University,6743.0,1680.0,9037.0,25349.0,1000+,1000+
Oakland University,12019.0,2569.0,10613.0,35011.0,1000+,1000+
Olivet College,1995.0,301.0,23021.0,34181.0,1000+,1000+
Kuyper College,152.0,37.0,18454.0,27970.0,1000+,1000+
Saginaw Valley State University,6057.0,1593.0,8423.0,30534.0,1000+,1000+
Siena Heights University,1422.0,300.0,21890.0,34014.0,1000+,1000+
Spring Arbor University,2698.0,368.0,23400.0,34046.0,1000+,1000+
Finlandia University,872.0,109.0,20480.0,32220.0,1000+,1000+
Wayne State University,11524.0,2167.0,11094.0,36206.0,501-600,top 1000
Western Michigan University,14621.0,3190.0,10355.0,36004.0,1000+,1000+
Augsburg College,2072.0,380.0,33209.0,45465.0,1000+,1000+
Bemidji State University,3606.0,838.0,8124.0,18940.0,1000+,1000+
Bethany Lutheran College,531.0,147.0,24080.0,34150.0,1000+,1000+
Bethel University,2118.0,612.0,31760.0,44300.0,1000+,1000+
Carleton College,7045.0,527.0,46167.0,60425.0,1000+,1000+
Concordia College at Moorhead,2493.0,684.0,32814.0,42964.0,1000+,1000+
Concordia University-Saint Paul,1359.0,287.0,19700.0,30850.0,1000+,1000+
Martin Luther College,209.0,164.0,12300.0,21560.0,1000+,1000+
Gustavus Adolphus College,4804.0,610.0,39120.0,50110.0,1000+,1000+
Hamline University,3427.0,536.0,35108.0,46398.0,1000+,1000+
Macalester College,6683.0,555.0,45388.0,57478.0,1000+,1000+
Minnesota State University-Mankato,9938.0,2456.0,7557.0,25041.0,1000+,1000+
University of Minnesota-Twin Cities,43048.0,5544.0,13555.0,31531.0,44,top 1000
University of Minnesota-Crookston,762.0,213.0,11448.0,22722.0,1000+,1000+
University of Minnesota-Duluth,7074.0,2054.0,12815.0,27020.0,1000+,1000+
University of Minnesota-Morris,2649.0,469.0,12584.0,23206.0,1000+,1000+
Minnesota State University-Moorhead,3562.0,989.0,7816.0,25898.0,1000+,1000+
North Central University,501.0,246.0,19996.0,30248.0,1000+,1000+
University of Northwestern-St Paul,1945.0,466.0,28020.0,40120.0,1000+,1000+
College of Saint Benedict,2077.0,538.0,37926.0,49970.0,1000+,1000+
Saint Cloud State University,5638.0,1703.0,7514.0,26644.0,1000+,1000+
Saint Johns University,1747.0,497.0,37162.0,48546.0,1000+,1000+
Saint Mary's University of Minnesota,1551.0,318.0,29315.0,39750.0,1000+,1000+
St Olaf College,4011.0,752.0,40700.0,51860.0,1000+,1000+
Crown College,1049.0,210.0,22430.0,35080.0,1000+,1000+
The College of Saint Scholastica,1810.0,432.0,31612.0,43008.0,1000+,1000+
University of St Thomas,5540.0,1368.0,35308.0,48400.0,1000+,1000+
St Catherine University,3071.0,443.0,34744.0,47012.0,1000+,1000+
Southwest Minnesota State University,2076.0,453.0,8074.0,19576.0,1000+,1000+
Winona State University,7212.0,1650.0,8730.0,26290.0,1000+,1000+
Alcorn State University,2265.0,575.0,6108.0,20984.0,1000+,1000+
Belhaven University,2280.0,281.0,19970.0,34472.0,1000+,1000+
Blue Mountain College,585.0,83.0,9470.0,17550.0,1000+,1000+
Delta State University,472.0,343.0,6562.0,18887.0,1000+,1000+
Jackson State University,5325.0,1103.0,6348.0,29844.0,1000+,1000+
Millsaps College,1901.0,171.0,32520.0,46680.0,1000+,1000+
University of Mississippi,14258.0,3582.0,6760.0,33412.0,801-900,top 1000
Mississippi University for Women,1274.0,184.0,5640.0,26543.0,1000+,1000+
Mississippi Valley State University,6229.0,493.0,5916.0,18552.0,1000+,1000+
Mississippi College,1936.0,598.0,14868.0,27611.0,1000+,1000+
Mississippi State University,11191.0,3156.0,6772.0,31858.0,501-600,top 1000
Rust College,3152.0,287.0,8900.0,15400.0,1000+,1000+
University of Southern Mississippi,6120.0,1746.0,6744.0,28174.0,1000+,1000+
Tougaloo College,2661.0,153.0,10227.0,20757.0,1000+,1000+
William Carey University,771.0,182.0,10800.0,25500.0,1000+,1000+
Avila University,1629.0,182.0,24950.0,36414.0,1000+,1000+
Central Methodist University-College of Liberal Arts and Sciences,1285.0,291.0,21320.0,32970.0,1000+,1000+
University of Central Missouri,4611.0,1769.0,7265.0,25193.0,1000+,1000+
Culver-Stockton College,2040.0,220.0,23300.0,34952.0,1000+,1000+
Drury University,1076.0,325.0,22295.0,34719.0,1000+,1000+
Evangel University,1379.0,460.0,20040.0,32183.0,1000+,1000+
Fontbonne University,676.0,160.0,22684.0,33896.0,1000+,1000+
Hannibal-LaGrange University,703.0,173.0,18770.0,29258.0,1000+,1000+
Lindenwood University,3379.0,1369.0,15150.0,31140.0,1000+,1000+
Maryville University of Saint Louis,1595.0,409.0,25002.0,41918.0,1000+,1000+
Missouri Baptist University,840.0,265.0,21790.0,33313.0,1000+,1000+
Missouri Southern State University,1726.0,808.0,5376.0,20219.0,1000+,1000+
Missouri Valley College,2164.0,415.0,18300.0,30000.0,1000+,1000+
University of Missouri-Columbia,20956.0,6194.0,9415.0,37292.0,1000+,1000+
University of Missouri-Kansas City,4367.0,1078.0,9456.0,41143.0,801-900,top 1000
Missouri University of Science and Technology,3322.0,1262.0,9510.0,36963.0,901-1000,top 1000
University of Missouri-St Louis,1755.0,482.0,9474.0,39277.0,1000+,1000+
Truman State University,4462.0,1329.0,7368.0,25440.0,1000+,1000+
Northwest Missouri State University,5680.0,1260.0,6390.0,22377.0,1000+,1000+
College of the Ozarks,3006.0,357.0,18330.0,27276.0,1000+,1000+
Park University,663.0,205.0,10600.0,23248.0,1000+,1000+
Rockhurst University,2576.0,438.0,31290.0,45235.0,1000+,1000+
Saint Louis University,13389.0,1638.0,36726.0,53438.0,601-700,top 1000
Southwest Baptist University,2179.0,482.0,20040.0,30340.0,1000+,1000+
Stephens College,783.0,168.0,27954.0,42424.0,1000+,1000+
Southeast Missouri State University,4388.0,1729.0,6863.0,24543.0,1000+,1000+
Missouri State University-Springfield,7482.0,2751.0,6908.0,25731.0,1000+,1000+
Washington University in St Louis,30117.0,1610.0,44841.0,61808.0,27,top 1000
Webster University,1736.0,418.0,23760.0,41918.0,1000+,1000+
Westminster College,1420.0,261.0,21680.0,34800.0,1000+,1000+
William Jewell College,1433.0,259.0,31000.0,43820.0,1000+,1000+
William Woods University,897.0,208.0,20650.0,35250.0,1000+,1000+
Carroll College,3279.0,315.0,27914.0,40918.0,1000+,1000+
University of Great Falls,1206.0,151.0,20960.0,32654.0,1000+,1000+
Montana Tech of the University of Montana,586.0,262.0,6464.0,30866.0,1000+,1000+
Montana State University,12581.0,2914.0,6752.0,33417.0,1000+,1000+
The University of Montana,4820.0,1967.0,6045.0,34780.0,1000+,1000+
Montana State University-Northern,376.0,200.0,5480.0,29212.0,1000+,1000+
Rocky Mountain College,1396.0,238.0,23718.0,35488.0,1000+,1000+
Concordia University-Nebraska,1299.0,282.0,24750.0,34550.0,1000+,1000+
Creighton University,5336.0,966.0,34330.0,48058.0,1000+,1000+
Doane College-Crete,1822.0,287.0,26180.0,38380.0,1000+,1000+
Grace University,260.0,96.0,18256.0,28958.0,1000+,1000+
Hastings College,1529.0,345.0,25520.0,37152.0,1000+,1000+
University of Nebraska at Kearney,2589.0,1022.0,6542.0,25838.0,1000+,1000+
Midland University,1676.0,367.0,27146.0,37780.0,1000+,1000+
University of Nebraska at Omaha,4955.0,1889.0,6550.0,29590.0,1000+,1000+
Nebraska Wesleyan University,2315.0,378.0,27242.0,39492.0,1000+,1000+
University of Nebraska-Lincoln,10929.0,4420.0,8060.0,35574.0,1000+,1000+
College of Saint Mary,335.0,89.0,26934.0,36252.0,1000+,1000+
Union College,1287.0,178.0,20470.0,31990.0,1000+,1000+
York College,546.0,94.0,15600.0,26250.0,1000+,1000+
University of Nevada-Las Vegas,7343.0,3773.0,6690.0,36105.0,701-800,top 1000
University of Nevada-Reno,7857.0,2994.0,6610.0,36510.0,1000+,1000+
Colby-Sawyer College,3400.0,421.0,37300.0,52800.0,1000+,1000+
Dartmouth College,23110.0,1098.0,46752.0,63279.0,301-400,top 1000
Franklin Pierce University,3546.0,538.0,31000.0,45898.0,1000+,1000+
New England College,5723.0,388.0,33000.0,48430.0,1000+,1000+
Southern New Hampshire University,4432.0,830.0,28884.0,43056.0,1000+,1000+
University of New Hampshire-Main Campus,17938.0,2869.0,16496.0,43020.0,1000+,1000+
Keene State College,6144.0,1258.0,12776.0,32469.0,1000+,1000+
Plymouth State University,5120.0,930.0,12610.0,33975.0,1000+,1000+
Rivier University,914.0,223.0,28055.0,43227.0,1000+,1000+
Saint Anselm College,3829.0,508.0,35204.0,50394.0,1000+,1000+
Bloomfield College,3115.0,382.0,25880.0,41130.0,1000+,1000+
Caldwell College,2984.0,330.0,29000.0,43800.0,1000+,1000+
Centenary College,1038.0,216.0,30540.0,43435.0,1000+,1000+
Drew University,3430.0,400.0,44068.0,59362.0,1000+,1000+
Fairleigh Dickinson University-Metropolitan Campus,5193.0,760.0,34882.0,52036.0,1000+,1000+
Felician College,1567.0,153.0,29990.0,45800.0,1000+,1000+
Fairleigh Dickinson University-College at Florham,3647.0,586.0,37348.0,54502.0,1000+,1000+
Georgian Court University,1276.0,275.0,29606.0,43276.0,1000+,1000+
Rowan University,8287.0,1420.0,12380.0,34776.0,1000+,1000+
New Jersey City University,4183.0,649.0,10653.0,34275.0,1000+,1000+
Kean University,4952.0,1525.0,10918.0,32847.0,1000+,1000+
Monmouth University,5537.0,906.0,31018.0,46152.0,1000+,1000+
Montclair State University,13012.0,3040.0,11318.0,36906.0,1000+,1000+
New Jersey Institute of Technology,4344.0,1029.0,15218.0,44540.0,701-800,top 1000
Princeton University,26499.0,1285.0,40170.0,55832.0,6,top 1000
Ramapo College of New Jersey,6297.0,901.0,13388.0,37811.0,1000+,1000+
Rider University,8078.0,911.0,35270.0,51670.0,1000+,1000+
Rutgers University-Camden,7437.0,497.0,13348.0,42205.0,1000+,1000+
Rutgers University-New Brunswick,30631.0,6337.0,13499.0,43492.0,1000+,1000+
Rutgers University-Newark,13282.0,1057.0,12998.0,43792.0,1000+,1000+
Saint Peter's University,6145.0,610.0,32284.0,47842.0,1000+,1000+
Seton Hall University,10735.0,1342.0,35820.0,50318.0,1000+,1000+
College of Saint Elizabeth,2496.0,124.0,31095.0,47147.0,1000+,1000+
Stevens Institute of Technology,4977.0,622.0,44490.0,60554.0,1000+,1000+
The Richard Stockton College of New Jersey,6126.0,1069.0,12322.0,34322.0,1000+,1000+
The College of New Jersey,11145.0,1404.0,14730.0,40057.0,1000+,1000+
William Paterson University of New Jersey,8935.0,1294.0,11918.0,35120.0,1000+,1000+
Eastern New Mexico University-Main Campus,2245.0,659.0,4558.0,21660.0,1000+,1000+
New Mexico Institute of Mining and Technology,1088.0,318.0,5714.0,30121.0,1000+,1000+
University of New Mexico-Main Campus,11467.0,3424.0,6846.0,33936.0,1000+,1000+
New Mexico State University-Main Campus,5365.0,1918.0,6220.0,31679.0,1000+,1000+
Vaughn College of Aeronautics and Technology,837.0,324.0,20450.0,43726.0,1000+,1000+
Adelphi University,8654.0,918.0,30800.0,47110.0,1000+,1000+
Alfred University,3417.0,535.0,25430.0,39948.0,1000+,1000+
Bard College,5466.0,489.0,46370.0,62572.0,1000+,1000+
Barnard College,5606.0,580.0,44790.0,61512.0,1000+,1000+
Canisius College,4322.0,682.0,33332.0,48102.0,1000+,1000+
Cazenovia College,2440.0,345.0,29410.0,43290.0,1000+,1000+
Clarkson University,6747.0,757.0,40540.0,57514.0,1000+,1000+
Colgate University,8374.0,759.0,46380.0,60050.0,1000+,1000+
Columbia University in the City of New York,31851.0,1415.0,49138.0,64144.0,8,top 1000
Concordia College-New York,1358.0,153.0,28095.0,41175.0,1000+,1000+
Cooper Union for the Advancement of Science and Art,3193.0,186.0,41400.0,60075.0,1000+,1000+
Cornell University,39999.0,3223.0,45358.0,61618.0,12,top 1000
CUNY Bernard M Baruch College,19863.0,1185.0,6210.0,34072.0,1000+,1000+
CUNY Brooklyn College,19843.0,1148.0,6184.0,31416.0,1000+,1000+
College of Staten Island CUNY,9785.0,2556.0,6158.0,31342.0,1000+,1000+
CUNY City College,22171.0,1397.0,6089.0,33141.0,1000+,1000+
CUNY Hunter College,30758.0,1971.0,6129.0,26691.0,1000+,1000+
CUNY John Jay College of Criminal Justice,13753.0,1908.0,6059.0,37395.0,1000+,1000+
CUNY Lehman College,15518.0,551.0,6108.0,30980.0,1000+,1000+
CUNY Queens College,19032.0,1449.0,6207.0,32689.0,1000+,1000+
D'Youville College,1171.0,258.0,22850.0,37570.0,1000+,1000+
Daemen College,3061.0,411.0,24090.0,37690.0,1000+,1000+
Dominican College of Blauvelt,1594.0,286.0,24790.0,39890.0,1000+,1000+
Dowling College,2675.0,388.0,28390.0,43962.0,1000+,1000+
Elmira College,2324.0,324.0,38150.0,50800.0,1000+,1000+
Fashion Institute of Technology,4449.0,1233.0,5105.0,30623.0,1000+,1000+
Fordham University,36189.0,1967.0,43902.0,63438.0,801-900,top 1000
Hamilton College,5017.0,491.0,46080.0,59590.0,1000+,1000+
Hartwick College,5392.0,528.0,38930.0,50815.0,1000+,1000+
Hilbert College,865.0,191.0,19940.0,30140.0,1000+,1000+
Hobart William Smith Colleges,4385.0,643.0,46165.0,59850.0,1000+,1000+
Hofstra University,22733.0,1488.0,37400.0,54289.0,1000+,1000+
Houghton College,807.0,223.0,27728.0,39590.0,1000+,1000+
Iona College,5911.0,922.0,32770.0,49295.0,1000+,1000+
Ithaca College,15658.0,1789.0,38400.0,55587.0,1000+,1000+
Keuka College,1375.0,228.0,27465.0,43005.0,1000+,1000+
Le Moyne College,5924.0,622.0,30460.0,44900.0,1000+,1000+
LIU Brooklyn,5695.0,879.0,34120.0,50514.0,1000+,1000+
LIU Post,6001.0,659.0,34070.0,50934.0,1000+,1000+
Manhattan College,7268.0,757.0,35725.0,52005.0,1000+,1000+
Manhattanville College,3930.0,476.0,35370.0,52240.0,1000+,1000+
Marist College,10351.0,1149.0,31290.0,48390.0,1000+,1000+
Marymount Manhattan College,4147.0,399.0,26640.0,48740.0,1000+,1000+
Medaille College,1505.0,443.0,23812.0,37312.0,1000+,1000+
Mercy College,6546.0,833.0,17576.0,34278.0,1000+,1000+
Molloy College,3242.0,501.0,25710.0,43718.0,1000+,1000+
Mount Saint Mary College,3551.0,449.0,26250.0,42290.0,1000+,1000+
College of Mount Saint Vincent,2416.0,386.0,30290.0,44835.0,1000+,1000+
Nazareth College,3838.0,423.0,29624.0,44290.0,1000+,1000+
The College of New Rochelle,1554.0,532.0,31260.0,47550.0,1000+,1000+
The New School,4978.0,1038.0,40426.0,59691.0,1000+,1000+
New York University,57845.0,5207.0,44848.0,63540.0,25,top 1000
Niagara University,3716.0,700.0,28200.0,42350.0,1000+,1000+
New York Institute of Technology,5433.0,841.0,30780.0,48552.0,1000+,1000+
Nyack College,700.0,264.0,23250.0,36532.0,1000+,1000+
Pace University-New York,12885.0,1848.0,38069.0,56999.0,1000+,1000+
Paul Smiths College of Arts and Science,970.0,240.0,25261.0,40021.0,1000+,1000+
Polytechnic Institute of New York University,3444.0,451.0,41328.0,59570.0,1000+,1000+
Rensselaer Polytechnic Institute,16150.0,1411.0,46269.0,61820.0,401-500,top 1000
Roberts Wesleyan College,814.0,206.0,27364.0,40888.0,1000+,1000+
Rochester Institute of Technology,16354.0,2784.0,34424.0,47627.0,1000+,1000+
University of Rochester,17244.0,1472.0,45372.0,61340.0,151-200,top 1000
The Sage Colleges,2237.0,297.0,28000.0,42470.0,1000+,1000+
St Bonaventure University,2754.0,438.0,29589.0,42359.0,1000+,1000+
St Francis College,2815.0,568.0,20700.0,43200.0,1000+,1000+
St Lawrence University,4424.0,631.0,46040.0,59550.0,1000+,1000+
The College of Saint Rose,4651.0,621.0,27684.0,42234.0,1000+,1000+
St Thomas Aquinas College,1841.0,337.0,26340.0,41120.0,1000+,1000+
Sarah Lawrence College,2165.0,344.0,48696.0,64122.0,1000+,1000+
Siena College,8082.0,734.0,31368.0,47265.0,1000+,1000+
Skidmore College,8285.0,660.0,45874.0,60900.0,1000+,1000+
Saint John Fisher College,4016.0,521.0,28430.0,41370.0,1000+,1000+
St John's University-New York,51634.0,2792.0,37260.0,56971.0,1000+,1000+
SUNY College of Technology at Alfred,5761.0,1101.0,7294.0,29899.0,1000+,1000+
SUNY College of Technology at Canton,3391.0,780.0,7181.0,25586.0,1000+,1000+
SUNY College of Technology at Delhi,4846.0,935.0,7200.0,25260.0,1000+,1000+
SUNY College of Agriculture and Technology at Cobleskill,2765.0,781.0,7149.0,32111.0,1000+,1000+
Farmingdale State College,5401.0,1190.0,7125.0,31635.0,1000+,1000+
Morrisville State College,4049.0,858.0,7412.0,32802.0,1000+,1000+
SUNY at Albany,21178.0,2568.0,8040.0,32739.0,1000+,1000+
