Name,Applicants total,Enrolled total,Tuition and fees,Costs of living on campus,Ranking,Ranking display
La Sierra University,3479.0,477.0,29103.0,41490.0,1000+,1000+
The Master's College and Seminary,849.0,209.0,28800.0,42147.0,1000+,1000+
Loyola Marymount University,11472.0,1341.0,40265.0,57379.0,1000+,1000+
Menlo College,4100.0,139.0,37100.0,53834.0,1000+,1000+
Mills College,1827.0,217.0,41494.0,56812.0,1000+,1000+
Mount St Mary's College,2316.0,559.0,33852.0,51100.0,1000+,1000+
Notre Dame de Namur University,1922.0,172.0,31126.0,49038.0,1000+,1000+
Occidental College,6072.0,548.0,46652.0,63363.0,1000+,1000+
Hope International University,408.0,78.0,26050.0,39537.0,1000+,1000+
Pacific Union College,2103.0,335.0,27480.0,39852.0,1000+,1000+
University of the Pacific,14222.0,958.0,39810.0,57033.0,1000+,1000+
Pepperdine University,9721.0,784.0,44902.0,61192.0,1000+,1000+
Pitzer College,4115.0,261.0,45018.0,61416.0,1000+,1000+
Point Loma Nazarene University,3138.0,647.0,30356.0,44593.0,1000+,1000+
Pomona College,7153.0,397.0,43580.0,59730.0,1000+,1000+
University of Redlands,4668.0,673.0,41290.0,58559.0,1000+,1000+
San Diego State University,51163.0,4139.0,6766.0,36228.0,501-600,top 1000
University of San Diego,14693.0,1238.0,41392.0,58189.0,1000+,1000+
San Francisco State University,31462.0,3807.0,6450.0,34988.0,1000+,1000+
University of San Francisco,14808.0,1148.0,40294.0,58384.0,1000+,1000+
San Jose State University,25155.0,3384.0,7343.0,34789.0,1000+,1000+
Santa Clara University,14339.0,1278.0,42156.0,59589.0,1000+,1000+
Scripps College,2378.0,272.0,45564.0,61370.0,1000+,1000+
Simpson University,573.0,150.0,23300.0,35324.0,1000+,1000+
Saint Mary's College of California,4864.0,622.0,39890.0,58365.0,1000+,1000+
Sonoma State University,13142.0,1749.0,7234.0,34455.0,1000+,1000+
Vanguard University of Southern California,1495.0,392.0,29250.0,43076.0,1000+,1000+
University of Southern California,47358.0,2922.0,46298.0,62180.0,53,top 1000
Thomas Aquinas College,178.0,88.0,24500.0,35716.0,1000+,1000+
Westmont College,2145.0,298.0,38510.0,53670.0,1000+,1000+
Whittier College,4381.0,446.0,40296.0,53700.0,1000+,1000+
Woodbury University,879.0,118.0,33150.0,48512.0,1000+,1000+
Adams State University,2658.0,519.0,7449.0,30323.0,1000+,1000+
University of Colorado Denver,3075.0,991.0,7933.0,38679.0,1000+,1000+
University of Colorado Colorado Springs,7034.0,1616.0,7024.0,31837.0,1000+,1000+
University of Colorado Boulder,22473.0,5846.0,10347.0,50655.0,51,top 1000
Colorado Christian University,1186.0,447.0,25046.0,38130.0,1000+,1000+
Colorado College,5780.0,522.0,44222.0,57400.0,1000+,1000+
Colorado School of Mines,11682.0,949.0,16485.0,46533.0,701-800,top 1000
Colorado State University-Fort Collins,17970.0,4443.0,9313.0,39056.0,1000+,1000+
University of Denver,13735.0,1413.0,40707.0,56077.0,1000+,1000+
Fort Lewis College,2560.0,876.0,6923.0,33233.0,1000+,1000+
Colorado Mesa University,6459.0,2214.0,6725.0,29752.0,1000+,1000+
Naropa University,79.0,38.0,28790.0,43620.0,1000+,1000+
University of Northern Colorado,7602.0,1939.0,6968.0,31803.0,1000+,1000+
Regis University,3006.0,531.0,32424.0,46326.0,1000+,1000+
Colorado State University-Pueblo,3147.0,916.0,7327.0,31260.0,1000+,1000+
Western State Colorado University,1514.0,473.0,7343.0,29986.0,1000+,1000+
Albertus Magnus College,689.0,132.0,28378.0,47302.0,1000+,1000+
University of Bridgeport,5248.0,542.0,29090.0,50043.0,1000+,1000+
Central Connecticut State University,5551.0,1293.0,8706.0,34702.0,1000+,1000+
Connecticut College,4837.0,503.0,46085.0,60780.0,1000+,1000+
University of Connecticut,27479.0,3755.0,12022.0,46192.0,301-400,top 1000
Eastern Connecticut State University,5112.0,985.0,9376.0,35899.0,1000+,1000+
Fairfield University,9254.0,990.0,42920.0,58730.0,1000+,1000+
University of Hartford,15127.0,1267.0,33358.0,48170.0,1000+,1000+
Mitchell College,1162.0,178.0,29458.0,46750.0,1000+,1000+
University of New Haven,10169.0,1174.0,33740.0,50210.0,1000+,1000+
Quinnipiac University,20699.0,1803.0,39330.0,55780.0,1000+,1000+
Sacred Heart University,7781.0,865.0,35050.0,53569.0,1000+,1000+
University of Saint Joseph,860.0,153.0,33417.0,49923.0,1000+,1000+
Southern Connecticut State University,4870.0,1380.0,9020.0,34411.0,1000+,1000+
Trinity College,7652.0,604.0,47510.0,62310.0,1000+,1000+
Wesleyan University,10046.0,752.0,47244.0,62849.0,1000+,1000+
Western Connecticut State University,3613.0,797.0,8893.0,34931.0,1000+,1000+
Yale University,28977.0,1356.0,44000.0,61620.0,11,top 1000
Delaware State University,8884.0,1036.0,7336.0,29937.0,1000+,1000+
University of Delaware,25458.0,4224.0,12112.0,43432.0,201-300,top 1000
Wesley College,2933.0,556.0,23590.0,38230.0,1000+,1000+
American University,17545.0,1627.0,40649.0,56808.0,1000+,1000+
Catholic University of America,6298.0,837.0,38526.0,56842.0,1000+,1000+
Gallaudet University,520.0,201.0,13800.0,31988.0,1000+,1000+
George Washington University,21756.0,2387.0,47343.0,61446.0,1000+,1000+
Georgetown University,20115.0,1570.0,44805.0,62179.0,401-500,top 1000
Howard University,11687.0,1394.0,22683.0,41643.0,1000+,1000+
Trinity Washington University,1493.0,276.0,21630.0,34470.0,1000+,1000+
Barry University,7845.0,576.0,28160.0,45100.0,1000+,1000+
Bethune-Cookman University,7429.0,1022.0,14410.0,27058.0,1000+,1000+
Lynn University,2697.0,456.0,33600.0,49535.0,1000+,1000+
University of Central Florida,31820.0,6068.0,6317.0,36938.0,301-400,top 1000
Clearwater Christian College,468.0,126.0,17125.0,30125.0,1000+,1000+
Eckerd College,3912.0,534.0,37362.0,51796.0,1000+,1000+
Edward Waters College,1907.0,208.0,11525.0,23833.0,1000+,1000+
Embry-Riddle Aeronautical University-Daytona Beach,4074.0,944.0,31334.0,46614.0,1000+,1000+
Florida Agricultural and Mechanical University,5029.0,1145.0,5785.0,31485.0,1000+,1000+
Florida Atlantic University,24889.0,3479.0,4790.0,34027.0,901-1000,top 1000
Flagler College-St Augustine,5396.0,708.0,16180.0,29560.0,1000+,1000+
Florida College,383.0,196.0,14490.0,26750.0,1000+,1000+
Florida Institute of Technology,7820.0,783.0,36020.0,52690.0,1000+,1000+
Florida International University,16549.0,2990.0,6496.0,35367.0,401-500,top 1000
Florida Memorial University,4960.0,432.0,14776.0,26588.0,1000+,1000+
Florida Southern College,4963.0,635.0,28580.0,40700.0,1000+,1000+
Florida State University,29579.0,6048.0,6507.0,36709.0,201-300,top 1000
University of Florida,27107.0,6373.0,6263.0,41381.0,94,top 1000
Jacksonville University,3498.0,528.0,29900.0,44670.0,1000+,1000+
University of Miami,28907.0,2140.0,42852.0,60906.0,201-300,top 1000
University of North Florida,10635.0,1615.0,6353.0,34978.0,1000+,1000+
Nova Southeastern University,4328.0,673.0,25430.0,43580.0,1000+,1000+
Palm Beach Atlantic University,1618.0,587.0,25532.0,39302.0,1000+,1000+
Rollins College,4729.0,477.0,41460.0,59438.0,1000+,1000+
Saint Leo University,3178.0,645.0,19920.0,33200.0,1000+,1000+
University of South Florida-Main Campus,28512.0,3904.0,6410.0,31674.0,1000+,1000+
St Thomas University,727.0,210.0,26370.0,41649.0,1000+,1000+
Stetson University,10509.0,852.0,38330.0,53712.0,1000+,1000+
Southeastern University,2124.0,865.0,19986.0,32234.0,1000+,1000+
The University of Tampa,15345.0,1592.0,25772.0,39375.0,1000+,1000+
Warner University,1264.0,179.0,18430.0,29879.0,1000+,1000+
Webber International University,944.0,207.0,21050.0,37173.0,1000+,1000+
The University of West Florida,12347.0,1333.0,6357.0,32618.0,1000+,1000+
Agnes Scott College,1340.0,254.0,34788.0,47323.0,1000+,1000+
Albany State University,8250.0,501.0,6024.0,31792.0,1000+,1000+
Armstrong Atlantic State University,3118.0,1128.0,5085.0,31135.0,1000+,1000+
Point University,934.0,238.0,17400.0,27400.0,1000+,1000+
Clark Atlanta University,5873.0,781.0,21100.0,35471.0,1000+,1000+
Berry College,3901.0,672.0,29090.0,43834.0,1000+,1000+
Brenau University,2160.0,206.0,23350.0,38528.0,1000+,1000+
Brewton-Parker College,475.0,150.0,13560.0,24786.0,1000+,1000+
Clayton State University,2046.0,545.0,5153.0,28592.0,1000+,1000+
Columbus State University,3170.0,1045.0,5514.0,29662.0,1000+,1000+
Covenant College,1129.0,268.0,29100.0,40330.0,1000+,1000+
Emmanuel College,876.0,156.0,16800.0,26400.0,1000+,1000+
Emory University,17475.0,1363.0,44008.0,59908.0,101-150,top 1000
Fort Valley State University,4076.0,624.0,6438.0,32927.0,1000+,1000+
Georgia Institute of Technology-Main Campus,14645.0,3044.0,10650.0,42688.0,1000+,1000+
Georgia Southwestern State University,1245.0,376.0,5035.0,28825.0,1000+,1000+
Georgia College and State University,4051.0,1392.0,8790.0,41652.0,1000+,1000+
Georgia Southern University,10525.0,3604.0,6071.0,32335.0,1000+,1000+
Georgia State University,13890.0,3460.0,8368.0,39016.0,501-600,top 1000
University of Georgia,18458.0,4936.0,10262.0,40274.0,1000+,1000+
Kennesaw State University,9471.0,3194.0,5818.0,34739.0,1000+,1000+
LaGrange College,1648.0,271.0,25690.0,40288.0,1000+,1000+
Life University,809.0,212.0,7947.0,28077.0,1000+,1000+
Mercer University,3864.0,728.0,33120.0,48212.0,1000+,1000+
